"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/hayleycloud/Downloads/Argus/src/commands/settings/SimilarMessagesCommand.js", "JavaScript", 36, 0, 7, 43
"/Users/hayleycloud/Downloads/Argus/src/commands/settings/SpamCommand.js", "JavaScript", 36, 0, 7, 43
"/Users/hayleycloud/Downloads/Argus/src/commands/settings/auto-response/AddAutoResponseCommand.js", "JavaScript", 184, 16, 18, 218
"/Users/hayleycloud/Downloads/Argus/src/commands/settings/auto-response/CompletingAutoResponseCommand.js", "JavaScript", 39, 4, 7, 50
"/Users/hayleycloud/Downloads/Argus/src/commands/settings/auto-response/DeleteAutoReponseCommand.js", "JavaScript", 53, 0, 10, 63
"/Users/hayleycloud/Downloads/Argus/src/commands/settings/auto-response/EditAutoResponseCommand.js", "JavaScript", 232, 27, 29, 288
"/Users/hayleycloud/Downloads/Argus/src/commands/settings/auto-response/ListAutoResponseCommand.js", "JavaScript", 22, 0, 5, 27
"/Users/hayleycloud/Downloads/Argus/src/commands/settings/auto-response/ShowAutoReponseCommand.js", "JavaScript", 47, 2, 7, 56
"/Users/hayleycloud/Downloads/Argus/src/commands/settings/bad-word/AddBadWordCommand.js", "JavaScript", 248, 27, 18, 293
"/Users/hayleycloud/Downloads/Argus/src/commands/settings/bad-word/CompletingBadWordCommand.js", "JavaScript", 39, 4, 7, 50
"/Users/hayleycloud/Downloads/Argus/src/commands/settings/bad-word/DeleteBadWordCommand.js", "JavaScript", 53, 0, 10, 63
"/Users/hayleycloud/Downloads/Argus/src/commands/settings/bad-word/EditBadWordCommand.js", "JavaScript", 335, 37, 31, 403
"/Users/hayleycloud/Downloads/Argus/src/commands/settings/bad-word/ListBadWordCommand.js", "JavaScript", 22, 0, 5, 27
"/Users/hayleycloud/Downloads/Argus/src/commands/settings/bad-word/ShowBadWordCommand.js", "JavaScript", 47, 2, 7, 56
"/Users/hayleycloud/Downloads/Argus/src/commands/settings/invites/SetInvitesCommand.js", "JavaScript", 61, 0, 10, 71
"/Users/hayleycloud/Downloads/Argus/src/commands/settings/invites/ShowInvitesCommand.js", "JavaScript", 51, 6, 9, 66
"/Users/hayleycloud/Downloads/Argus/src/commands/settings/muted-role/AbstractMutedRoleCommand.js", "JavaScript", 85, 19, 15, 119
"/Users/hayleycloud/Downloads/Argus/src/commands/settings/muted-role/CreateMutedRoleCommand.js", "JavaScript", 13, 0, 3, 16
"/Users/hayleycloud/Downloads/Argus/src/commands/settings/muted-role/DisableMutedRoleCommand.js", "JavaScript", 22, 0, 3, 25
"/Users/hayleycloud/Downloads/Argus/src/commands/settings/muted-role/SetMutedRoleCommand.js", "JavaScript", 22, 0, 5, 27
"/Users/hayleycloud/Downloads/Argus/src/commands/settings/protected-roles/AddProtectedRoleCommand.js", "JavaScript", 37, 0, 7, 44
